Function;Probability
CLAUSE-END;0.239572192513
Adju;0.0326203208556
Cmpl;0.111764705882
Conj;0.154010695187
Frnt;0.000534759358289
Loca;0.00588235294118
ModS;0.000534759358289
Modi;0.0048128342246
NCop;0.00267379679144
Nega;0.00588235294118
Objc;0.0598930481283
PrAd;0.00160427807487
PreC;0.0475935828877
PreO;0.0101604278075
PreS;0.00213903743316
Pred;0.168449197861
Ques;0.00160427807487
Rela;0.0283422459893
Subj;0.102673796791
Supp;0.000534759358289
Time;0.0187165775401
