Function;Probability
CLAUSE-END;0.240597345133
Adju;0.033185840708
Cmpl;0.114491150442
Conj;0.154867256637
Loca;0.00608407079646
Modi;0.00442477876106
Nega;0.00553097345133
Objc;0.0613938053097
PreC;0.0464601769912
PreO;0.00995575221239
PreS;0.00221238938053
Pred;0.172013274336
Rela;0.029314159292
Subj;0.101216814159
Time;0.0182522123894
