Function;Probability
CLAUSE-END;0.240282685512
Adju;0.00854895702724
Cmpl;0.101333637296
Conj;0.197537900376
Loca;0.00695315171549
Modi;0.00558531859113
Nega;0.00626923515331
Objc;0.0473042288841
PreC;0.0377293970136
PreO;0.0115125954634
PreS;0.00216573578023
Pred;0.192522512254
Rela;0.0115125954634
Subj;0.120483301037
Time;0.0102587484327
